Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-227-136-934-782,Re-Branding Post 1945 Paris: Exhibiting Powers and Contemporary Art,2010-11-06,2010,journal article,Paroles gelées,23776455; 10947264,California Digital Library (CDL),,Elisabeth Tiso,"This paper will examine the expanded role Contemporary art has assumed in rebranding Paris, France’s flagship capital, as a cutting edge, technological, innovative and competitive global city. Paris has effectively incorporated contemporary art into the fabric of the whole city with exhibitions such as those originating at the Grand Palais spreading to venues throughout the inner and outer ‘quartier’. France has used arts and culture to claim supremacy in the world whether colonial or local for centuries with Paris the ultimate ‘brand’. Post WWII Paris however, saw this brand diminished and claims to artistic supremacy replaced by New York. In an effort to regain some relevancy Paris, and by extension France, began the process of re-branding concordant with political, economic and technological advancement through the fervent promotion of contemporary art. Contemporary Paris through contemporary art aspires to a transnational and post-national site of spectacle; a leading locus for art to be consumed. Paris’s mass contemporary art consumption era began in 1972 with De Gaulle’s efforts to replace military and imperial power with cultural dominance (though the recent concurrent inaugurations of outposts for the French military and the Louvre in Abu Dhabi may suggest a ‘rapprochement’ of the domains), inaugurating a litany of new contemporary exhibitions, art fairs, monuments and museums. Furthermore, with the redefinition of contemporary French art from an art produced by French artists to art produced in the “territory of France”, this universalizing re-branding of contemporary art attempts to validate Paris’s claim to global cultural supremacy. I discuss particular events such as the art fair FIAC, La Force de L’ Art and Monumenta to illustrate the use of Contemporary art to shape and brand contemporary Paris.",26,1,,,Art; Visual arts; History of art; Global city; Exhibition; Colonialism; Cultural studies; The arts; Contemporary art; Politics,,,,,https://escholarship.org/uc/item/6x7934rr https://escholarship.org/content/qt6x7934rr/qt6x7934rr.pdf?t=quwd8j https://escholarship.org/uc/item/6x7934rr.pdf,http://dx.doi.org/10.5070/pg7261003194,,10.5070/pg7261003194,39596082,,0,,0,true,,green
000-239-406-422-938,Contemporary Art in Japan,1959-09-01,1959,journal article,College Art Journal,15436322; 23255412,Informa UK Limited,,Erica Beckh,In the Fall (1958) issue of the College Art Journal three contributors discussed aspects of contemporary Japanese art. Like other manifestations this reflects the widespread American interest in that country's present day art. I have recently returned from a year in Japan where as a Fulbright Grantee I studied the contemporary art scene. I therefore felt that it might be of value to describe the general art situation as I found it over there. Out of this background have emerged some artists who now have international reputation.,19,1,10,22,Contemporary art; Art world; Reputation; Value (mathematics); Visual art of the United States; Art; Art history; Visual arts; Aesthetics; Sociology; Performance art; Social science; Computer science; Machine learning,,,,,,http://dx.doi.org/10.1080/15436322.1959.11465701,,10.1080/15436322.1959.11465701,,,0,,0,false,,
000-314-029-789-052,Utopia & Contemporary Art,2012-06-30,2012,book,,,,,Christian Gether; Stine Høholt; Marie Laurberg; Deke Dusinberre; James Manley,"The last decade has witnessed a noticeable return to utopia and utopian thinking in contemporary art. This volume convenes artists, academics and curators to discuss different ways of thinking and performing utopia. Divided into two sections, ""Utopia Revisited"" and ""Utopian Positions,"" it considers both artists exploring the theme as subject matter and artists actively aspiring towards utopian ideals.",,,,,Aesthetics; Art; Utopia; Theme (narrative); Subject matter; Contemporary art,,,,,https://www.amazon.com/Utopia-Contemporary-Art-Christian-Gether/dp/3775732810 https://pure.kb.dk/da/publications/utopia-amp-contemporary-art https://ci.nii.ac.jp/ncid/BB13159919,https://www.amazon.com/Utopia-Contemporary-Art-Christian-Gether/dp/3775732810,,,607543975,,0,,1,false,,
000-332-696-445-113,An Anthropology of Contemporary Art,,2017,book,,,Bloomsbury Academic,,,,,,,,,,,,,,http://dx.doi.org/10.5040/9781350016439,,10.5040/9781350016439,,,0,,1,false,,
000-701-660-877-273,The Integration of contemporary art and ethnic culture: Taking the creation of ethnic fiber art as an example,,2023,journal article,Idealogy Journal,2550214x,"UiTM Press, Universiti Teknologi MARA",,Liang Xian; Mohd Jamil Haji Mat Isa,"<jats:p>The purpose of this research is to analyze the development trend of ethnic culture from the perspective of contemporary art, focusing on the art form of the expression of contemporary ethnic fiber art on ethnic culture. Through the research methods of questionnaire survey and case analysis of works, it is found that ethnic culture can show its artistic charm through diversified fiber art forms. Contemporary ethnic fiber art will be the innovative carrier of the integration of contemporary art and ethnic culture. In the case analysis of works, it is found that contemporary art and ethnic culture can be integrated into contemporary art creation through traditional handicraft innovation, pattern recombination and deconstruction, color reference, national spirit and other aspects. Therefore, this research proves that the integration of ethnic culture and fiber art is full of contemporary artistic interest, which not only enhances the social influence of ethnic culture, but also helps to enrich the form and content of contemporary fiber art, which is of great significance to promote the development of traditional ethnic craft.</jats:p>",8,2,,,Ethnic group; Contemporary art; Craft; Handicraft; Aesthetics; Sociology; Ethnic culture; Art methodology; Deconstruction (building); Perspective (graphical); Art; Anthropology; Visual arts; Art history; Engineering; Waste management; Performance art,,,,,https://doi.org/10.24191/idealogy.v8i2.435 http://doi.org/10.24191/idealogy.v8i2.435 https://ir.uitm.edu.my/id/eprint/86674/1/86674.pdf,http://dx.doi.org/10.24191/idealogy.v8i2.435,,10.24191/idealogy.v8i2.435,,,0,,0,true,,bronze
000-887-773-963-117,Contemporary Art and Feminism,2021-06-30,2021,book,,,,,Jacqueline Millner; Catriona Moore,"This important new book examines contemporary art while foregrounding the key role feminism has played in enabling current modes of artmaking, spectatorship and theoretical discourse.; Contemporary Art and Feminism carefully outlines the links between feminist theory and practice of the past four decades of contemporary art and offers a radical re-reading of the contemporary movement. Rather than focus on filling in the gaps of accepted histories by ‘adding’ the ‘missing’ female, queer, First Nations and women artists of colour, the authors seek to revise broader understandings of contemporary practice by providing case studies contextualised in a robust art historical and theoretical basis. Readers are encouraged to see where art ideas come from and evaluate past and present art strategies. What strategies, materials or tropes are less relevant in today’s networked, event-driven art economies? What strategies and themes should we keep hold of, or develop in new ways? ; This is a significant and innovative intervention that is ideal for students in courses on contemporary art within fine arts, visual studies, history of art, gender studies and queer studies.",,,,,Aesthetics; Sociology; Feminist theory; History of art; Foregrounding; Feminism; Queer; Intervention (law); Fine art; Contemporary art,,,,,https://www.taylorfrancis.com/books/mono/10.4324/9781003045175/contemporary-art-feminism-jacqueline-millner-catriona-moore,https://www.taylorfrancis.com/books/mono/10.4324/9781003045175/contemporary-art-feminism-jacqueline-millner-catriona-moore,,,3162654771,,0,,0,false,,
000-955-116-688-129,Introduction to contemporary art in BiH.,2015-08-01,2015,,,,,,Jonathan Blackwood,"This will be the first ever book on contemporary art in Bosnia & Herzegovina, in any language. The book derives from a period of three years of research and participatory observation around the differing art activities in BiH. In a challenging contextual essay, the key drivers of contemporary art in the country are considered. The main themes discussed are the legacy of the 1992-95 war, the collapse of infrastructure, informality, futavizam, art activism and politics, art and the environment, Yugoslavism, and diaspora. In addition to fleshing out these broader themes, the book will consider key works of contemporary art in grater detail, in order to open out the complex interplay of these themes in individual works. Lavishly illustrated, the book will provide a key starting point both for the general and the academic reader, and will stand as a guide to BiH art for many years to come.",,,,,Art; Point (typography); Citizen journalism; Key (music); Diaspora; Order (virtue); Period (music); Media studies; Classics; Contemporary art; Politics,,,,,https://rgu-repository.worktribe.com/output/246624,https://rgu-repository.worktribe.com/output/246624,,,2609959011,,0,,0,false,,
001-286-310-552-058,Institutionalization and Identity of Contemporary Art (2000-Present),2020-07-15,2020,book chapter,Chinese Contemporary Art Series,21999058; 21999066,Springer Singapore,,Yan Zhou,"The art of twenty-first century, started with the individual suicide, came to an age of institutionalization and identity of Chinese contemporary art. This would be reflected in the appearance of art districts, the boom of art museums, and contemporary art entering art academies. It also saw the development of Maximalism and Way of Ink, Chinese approaches toward contemporaneity. Social or Critical Realism reemerged, and the Feminine Art of the 1990s moved forward to Feminist Art.",,,335,458,Aesthetics; Boom; Sociology; Institutionalisation; Critical realism (philosophy of the social sciences); Identity (social science); Feminist art; Contemporary art,,,,,https://link.springer.com/chapter/10.1007%2F978-981-15-1141-7_6,http://dx.doi.org/10.1007/978-981-15-1141-7_6,,10.1007/978-981-15-1141-7_6,3042536592,,0,,2,false,,
001-391-572-256-130,Discussion on the Influence of Postmodern Artistic Ideological Trend on Contemporary Ceramic Art,,2017,conference proceedings article,"Proceedings of the 2016 3rd International Conference on Education, Language, Art and Inter-cultural Communication (ICELAIC 2016)",,Atlantis Press,,Changzong Shao,"Postmodern artistic ideological trend focuses on the main form of art and the technique innovation in the process of creation. The spring up of this ideological trend brings great conflict to the development of contemporary ceramic art. Postmodern artistic ideological trend, as a kind of multiple values-oriented academic ideological trends, on the one hand lays emphasis on the cultural venation nature of history and on the other hand, does not rigidly follow the traditional mode of thinking. Contemporary ceramic art also continuously develops and progresses under the impact of this ideological trend, on the one hand laying emphasis on the main features of contemporary ceramic art that was back to nature and on the other hand, paying attention to the continuous innovation of ceramic products. Postmodernism artistic ideological trend sparkplugs diversification value mode of natural existence and man-made innovation, the influence of this mode on contemporary ceramic art manifests the cultural sharing and humanistic care in the creation process of contemporary ceramic art.",,,,,Art; Visual arts; Ideology; Ceramic art; Postmodern music; Postmodernism; Postmodern art; Postmodern theatre; Anthropology of art; Contemporary art,postmodern art; ceramic art; cultural diversity,,,,https://www.atlantis-press.com/proceedings/icelaic-16/25869622,http://dx.doi.org/10.2991/icelaic-16.2017.112,,10.2991/icelaic-16.2017.112,2602306928,,0,,0,true,cc-by-nc,gold
001-425-496-186-494,Chinese contemporary art teachers' professional development in the 20th and 21st centuries within the multicultural framework.,2022-05-03,2022,journal article,Heritage science,20507445,Springer Science and Business Media LLC,United States,Jing Yang,"The study of contemporary art is one of the main means of implementing aesthetic education in China. This discipline allows a student to develop a system of spiritual values, reveal talents and acquire skills needed for professional growth. Chinese art is an integral part of the global cultural space, and Chinese contemporary art performs the functions of cultural reflection, occupying an important place in developing the state's cultural identity. In the process of globalization, it is extremely important to study not only Chinese, but also world contemporary art, as well as the peculiarities of its teaching in the educational institutions of the PRC within the framework of the multiculturalism movement. The study objectives are to develop a unique online platform for teaching and learning contemporary art in China, to identify the features of art teacher training, to identify the methods of and trends in teaching contemporary art in the Chinese system of secondary and higher education, as well as to determine the most effective method of teaching contemporary art in China based on the experiment. In the course of the study, a plan and structure of the website containing audio and video materials, graphic editors and a conference system for students and teachers were developed. An innovative classification of the contemporary art movements was made in accordance with the tools and methods of creating art works. The styles of contemporary art were divided into groups: painting, sculpture/architecture, photography, cybernetic art, literature, optical art, theatrical art, mass culture, and hybrid art. The database was compiled by the masters of Art from China and Ireland, which emphasizes the internationality and multiculturalism of the project. An experiment was conducted to determine the level of effectiveness of different methods of teaching contemporary art in China. In the course of the experiment, the Spark platform developed for the study purpose was recognized as the most effective (56.1%). The effectiveness of the active method and passive method of teaching was 27.2% and 16.7%, respectively. The study results can be used in the study of various trends in contemporary art in the process of modernization and within the framework of pedagogical and commercial activities related to the work of exhibitions and galleries. In addition, they can be used to improve the methods of teaching contemporary art online and offline to the broad public audience and improve the professional skills of graphic or UI/UX designers, 3D modeling experts, engineers, editors, and IT developers. The practical significance of the developed online platform lies in the possibility of database use, practical application of the knowledge gained, and taking online lessons with Chinese and foreign teachers as part of a multicultural experience exchange.",10,1,56,56,Multiculturalism; Professional development; Sociology; Pedagogy; Engineering ethics; Visual arts; Art; Engineering,Art; China; Contemporary art; Education; Online learning; Online platform; Pedagogy,,,2021 Heilongjiang art and science planning project: Research on contemporary Heilongjiang local theme painting Practicing Socialist Core Values,https://heritagesciencejournal.springeropen.com/track/pdf/10.1186/s40494-022-00692-8 https://doi.org/10.1186/s40494-022-00692-8,http://dx.doi.org/10.1186/s40494-022-00692-8,35529520,10.1186/s40494-022-00692-8,,PMC9062636,0,000-135-038-155-488; 006-894-846-500-839; 007-812-020-419-684; 012-366-099-876-274; 012-881-396-300-171; 019-000-973-377-438; 020-174-126-997-391; 034-231-502-286-056; 038-646-087-704-133; 040-864-217-655-403; 044-438-925-463-297; 050-755-476-533-347; 050-989-845-987-929; 055-945-459-332-438; 058-598-311-462-602; 065-152-452-972-785; 066-959-204-349-875; 068-704-889-302-954; 069-893-840-000-674; 070-911-534-299-77X; 075-070-102-491-002; 075-597-119-649-68X; 076-790-076-724-600; 079-161-463-411-644; 079-768-537-381-881; 084-791-704-016-416; 086-353-715-202-903; 093-728-214-508-594; 095-206-114-903-276; 115-550-357-887-502; 118-097-914-887-385; 119-632-218-122-512; 125-953-450-438-081; 139-607-047-888-556; 150-273-061-468-591; 157-831-255-791-926; 168-326-517-464-645; 179-656-727-589-404; 182-315-658-429-599; 197-297-704-368-693,14,true,"CC BY, CC0",gold
